[2025-11-11T06:53:36.364Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T06:53:36.364Z","context":"fetchLogsFromGraylog"}
[2025-11-11T06:53:40.372Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T06:53:40.370Z","context":"fetchLogsFromGraylog"}
[2025-11-11T06:53:45.380Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T06:53:45.380Z","context":"fetchLogsFromGraylog"}
[2025-11-11T06:53:52.392Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T06:53:52.391Z","context":"fetchLogsFromGraylog"}
[2025-11-11T06:54:03.399Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T06:54:03.399Z","context":"fetchLogsFromGraylog"}
[2025-11-11T06:54:11.404Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T06:54:11.404Z","context":"fetchLogsFromGraylog"}
[2025-11-11T06:54:15.414Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T06:54:15.414Z","context":"fetchLogsFromGraylog"}
[2025-11-11T06:54:20.419Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T06:54:20.419Z","context":"fetchLogsFromGraylog"}
[2025-11-11T06:54:27.429Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T06:54:27.429Z","context":"fetchLogsFromGraylog"}
[2025-11-11T06:54:38.437Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T06:54:38.437Z","context":"fetchLogsFromGraylog"}
[2025-11-11T06:54:46.444Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T06:54:46.444Z","context":"fetchLogsFromGraylog"}
[2025-11-11T06:54:50.448Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T06:54:50.448Z","context":"fetchLogsFromGraylog"}
[2025-11-11T06:54:55.451Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T06:54:55.450Z","context":"fetchLogsFromGraylog"}
[2025-11-11T06:55:02.457Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T06:55:02.457Z","context":"fetchLogsFromGraylog"}
[2025-11-11T07:01:30.290Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T07:01:30.290Z","context":"fetchLogsFromGraylog"}
[2025-11-11T07:01:34.294Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T07:01:34.294Z","context":"fetchLogsFromGraylog"}
[2025-11-11T07:01:39.299Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T07:01:39.299Z","context":"fetchLogsFromGraylog"}
[2025-11-11T07:17:13.156Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T07:17:13.155Z","context":"fetchLogsFromGraylog"}
[2025-11-11T07:17:17.164Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T07:17:17.164Z","context":"fetchLogsFromGraylog"}
[2025-11-11T07:17:22.168Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T07:17:22.168Z","context":"fetchLogsFromGraylog"}
[2025-11-11T07:21:13.132Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T07:21:13.132Z","context":"fetchLogsFromGraylog"}
[2025-11-11T07:21:17.136Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T07:21:17.136Z","context":"fetchLogsFromGraylog"}
[2025-11-11T07:21:22.138Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T07:21:22.137Z","context":"fetchLogsFromGraylog"}
